time_period,ref_area,freq,measure,unit_measure,activity,adjustment,transformation,time_horiz,methodology,obs_value,unit_mult,decimals,obs_status
1990-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.5527,0,2,A
1990-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.9858,0,2,A
1990-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,104.2065,0,2,A
1990-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,104.1748,0,2,A
1990-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.8661,0,2,A
1990-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.2725,0,2,A
1990-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.4201,0,2,A
1990-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.3853,0,2,A
1990-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.2733,0,2,A
1990-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.05747,0,2,A
1990-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,97.80969,0,2,A
1990-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,96.69764,0,2,A
1991-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,95.94037,0,2,A
1991-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,95.67482,0,2,A
1991-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,95.87634,0,2,A
1991-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,96.28292,0,2,A
1991-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,96.70572,0,2,A
1991-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,97.09956,0,2,A
1991-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,97.49075,0,2,A
1991-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,97.93053,0,2,A
1991-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,98.47187,0,2,A
1991-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.09176,0,2,A
1991-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.68064,0,2,A
1991-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.1421,0,2,A
1992-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.416,0,2,A
1992-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.51220000000001,0,2,A
1992-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.5154,0,2,A
1992-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.4934,0,2,A
1992-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.5243,0,2,A
1992-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.5951,0,2,A
1992-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.7429,0,2,A
1992-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.913,0,2,A
1992-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.1002,0,2,A
1992-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.338,0,2,A
1992-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.6353,0,2,A
1992-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.0038,0,2,A
1993-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.4467,0,2,A
1993-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.8799,0,2,A
1993-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.2039,0,2,A
1993-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.3756,0,2,A
1993-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.3627,0,2,A
1993-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,103.1639,0,2,A
1993-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.8131,0,2,A
1993-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.3583,0,2,A
1993-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.7785,0,2,A
1993-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.9604,0,2,A
1993-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.78095,0,2,A
1993-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,98.1814,0,2,A
1994-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,96.16755,0,2,A
1994-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,93.94557,0,2,A
1994-03,TUR,M,LI,IX,_Z,AA,IX,_Z,H,92.00302,0,2,A
1994-04,TUR,M,LI,IX,_Z,AA,IX,_Z,H,90.76067,0,2,A
1994-05,TUR,M,LI,IX,_Z,AA,IX,_Z,H,90.58434,0,2,A
1994-06,TUR,M,LI,IX,_Z,AA,IX,_Z,H,91.59914,0,2,A
1994-07,TUR,M,LI,IX,_Z,AA,IX,_Z,H,93.49038,0,2,A
1994-08,TUR,M,LI,IX,_Z,AA,IX,_Z,H,95.68041,0,2,A
1994-09,TUR,M,LI,IX,_Z,AA,IX,_Z,H,97.66633,0,2,A
1994-10,TUR,M,LI,IX,_Z,AA,IX,_Z,H,99.18728,0,2,A
1994-11,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.2358,0,2,A
1994-12,TUR,M,LI,IX,_Z,AA,IX,_Z,H,100.9431,0,2,A
1995-01,TUR,M,LI,IX,_Z,AA,IX,_Z,H,101.4758,0,2,A
1995-02,TUR,M,LI,IX,_Z,AA,IX,_Z,H,102.0138,0,2,A
